p1,p2,p3,p4,players,team1,team2,ordered_key,unique_key,played_ordered,played_unique,elo_pred_team1_win_prob,trueskill_pred_team1_win_prob,tree_pred_team1_win_prob,sort_prob,closeness
TT,TD,RS,SY,"['TT', 'TD', 'RS', 'SY']",TT + TD,RS + SY,TT|TD|RS|SY,"RS,SY||TD,TT",False,True,0.4474492106812042,0.614602811318115,0.010405426914895856,0.010405426914895856,0.4895945730851041
NS,FZ,AC,CH,"['NS', 'FZ', 'AC', 'CH']",NS + FZ,AC + CH,NS|FZ|AC|CH,"AC,CH||FZ,NS",False,True,0.5578529517209931,0.7715440074513491,0.9896543980734838,0.9896543980734838,0.48965439807348377
FZ,AC,NS,TT,"['FZ', 'AC', 'NS', 'TT']",FZ + AC,NS + TT,FZ|AC|NS|TT,"AC,FZ||NS,TT",False,False,0.5546852135410256,0.8191910935437465,0.9896909554022562,0.9896909554022562,0.48969095540225616
CH,FZ,TD,TT,"['CH', 'FZ', 'TD', 'TT']",CH + FZ,TD + TT,CH|FZ|TD|TT,"CH,FZ||TD,TT",False,False,0.627444915838571,0.9795535402449012,0.9897091282735306,0.9897091282735306,0.48970912827353064
FZ,CH,TD,TT,"['FZ', 'CH', 'TD', 'TT']",FZ + CH,TD + TT,FZ|CH|TD|TT,"CH,FZ||TD,TT",False,False,0.627444915838571,0.9795535402449012,0.9897091282735306,0.9897091282735306,0.48970912827353064
RS,AC,FZ,CH,"['RS', 'AC', 'FZ', 'CH']",RS + AC,FZ + CH,RS|AC|FZ|CH,"AC,RS||CH,FZ",False,False,0.3743225203652582,0.0024287057548612566,0.010257380321174434,0.010257380321174434,0.48974261967882554
FZ,NS,TD,CH,"['FZ', 'NS', 'TD', 'CH']",FZ + NS,TD + CH,FZ|NS|TD|CH,"CH,TD||FZ,NS",False,False,0.5486465229252303,0.8253503421834143,0.989785396179485,0.989785396179485,0.489785396179485
NS,RS,SY,CH,"['NS', 'RS', 'SY', 'CH']",NS + RS,SY + CH,NS|RS|SY|CH,"CH,SY||NS,RS",False,False,0.43546763556053386,0.014837861627152848,0.010189719177335965,0.010189719177335965,0.48981028082266403
RS,NS,SY,CH,"['RS', 'NS', 'SY', 'CH']",RS + NS,SY + CH,RS|NS|SY|CH,"CH,SY||NS,RS",False,False,0.43546763556053386,0.014837861627152848,0.010189719177335965,0.010189719177335965,0.48981028082266403
NS,CH,TT,RS,"['NS', 'CH', 'TT', 'RS']",NS + CH,TT + RS,NS|CH|TT|RS,"CH,NS||RS,TT",False,False,0.5679127442670352,0.9886558232898304,0.9898403260196225,0.9898403260196225,0.48984032601962246
