game_id,player,trueskill_mu_after,trueskill_sigma_after,trueskill_conservative_after
157,AC,24.614421996661118,1.5665223301044238,19.914855006347846
158,AC,24.554475920342455,1.5615942709058768,19.869693107624826
159,AC,24.498567126151276,1.5570095155648283,19.827538579456792
160,AC,24.649931280320562,1.5470334220796498,20.008831014081615
161,AC,24.70925558238801,1.5422546728920645,20.082491563711816
162,AC,24.671276404397425,1.5390609285109171,20.054093618864673
163,AC,24.339416958419456,1.52352885514161,19.768830392994627
164,AC,24.238559971953514,1.5157321554614862,19.691363505569054
166,AC,23.754536242798544,1.5001016883952256,19.254231177612866
168,AC,23.740363189888313,1.5000288267413193,19.240276709664357
169,AC,23.580183541756956,1.4904660380499877,19.108785427606993
170,AC,23.614103320537204,1.4882148669928765,19.149458719558574
174,AC,23.591254833683276,1.487004120810576,19.13024247125155
175,AC,23.44841198594303,1.4779205237215964,19.014650414778238
176,AC,23.487599719438496,1.4753090663627337,19.061672520350292
177,AC,23.309675419777072,1.4656741863518352,18.912652860721565
178,AC,23.684007456663632,1.4525453117828162,19.326371521315185
179,AC,23.93997623004053,1.441203454370743,19.616365866928298
180,AC,23.826603490743533,1.4339078412349155,19.524879967038785
181,AC,23.96644022910451,1.4256146332447506,19.689596329370257
183,AC,23.578819028808034,1.412974829529884,19.33989454021838
184,AC,23.360267200552123,1.4027198850857174,19.15210754529497
185,AC,23.3315123012668,1.4013161789575326,19.127563764394203
186,AC,23.29948655233534,1.3997197784663418,19.100327216936314
188,AC,23.214007953994642,1.3943009725677087,19.031105036291514
189,AC,23.19548692264708,1.394034798129516,19.013382528258532
191,AC,23.080361880040964,1.3873894654499015,18.91819348369126
193,AC,22.885318041893022,1.3781857229952215,18.750760872907357
1,CH,22.02628144807439,7.785138858695782,-1.3291351280129575
3,CH,24.95370042698962,7.253911609949412,3.191965597141383
4,CH,21.869301762771357,6.790637755237249,1.4973884970596103
5,CH,25.2063034643388,6.343619949872749,6.175443614720553
6,CH,26.211282569429432,6.109375231576845,7.883156874698898
8,CH,28.681704095814165,5.7745757154545005,11.357976949450663
9,CH,30.138967168989865,5.505266202800132,13.62316856058947
11,CH,28.804924480551687,5.266557683910467,13.005251428820287
12,CH,26.26529636110174,4.968355860578383,11.360228779366592
13,CH,26.473436725677423,4.899852803950416,11.773878313826177
14,CH,25.82781542787675,4.75350866865051,11.56728942192522
15,CH,25.12676153446764,4.610908490275523,11.294036063641073
16,CH,26.744956918314948,4.402712469868623,13.536819508709078
17,CH,26.96874338419106,4.33916648091856,13.951243941435383
18,CH,28.002146259897685,4.182313026510796,15.455207180365298
19,CH,27.434371426306303,4.084155650073497,15.181904476085812
21,CH,28.120433833527873,3.9624444798685134,16.23310039392233
22,CH,26.658656415607258,3.8130587455740343,15.219480178885155
23,CH,26.781003438388424,3.779773439144942,15.441683120953599
24,CH,27.419805030611318,3.7018443046873677,16.314272116549215
25,CH,27.12429462546191,3.650033909232695,16.174192897763824
26,CH,26.80598971743427,3.5954568462117686,16.019619178798962
27,CH,25.88365103915245,3.4997285263823006,15.384465460005549
28,CH,24.457967756113145,3.3881702202645427,14.293457095319518
29,CH,25.562895291350937,3.2871081979949968,15.701570697365947
32,CH,26.707578927805418,3.1892007520768546,17.139976671574853
33,CH,27.253237094142413,3.1134834571375847,17.91278672272966
35,CH,26.568972697603126,3.0430346831359385,17.43986864819531
36,CH,27.415065649997633,2.967343745230668,18.51303441430563
37,CH,27.71751400874384,2.9224312401123633,18.95022028840675
38,CH,28.414751671971487,2.8529481622254638,19.855907185295095
39,CH,28.00960564642452,2.802758179956729,19.601331106554333
40,CH,28.107877305305202,2.7825229776166323,19.760308372455306
