matchup_id,team1,team2,team1_elo,team2_elo,elo_diff,avg_elo,pred_team1_win_prob
21,TT + FZ,NS + RS,1533.7853643171652,1473.8818332990022,59.903531018162994,1503.8335988080837,0.7988833376715524
22,TT + NS,RS + AC,1491.9286042811964,1448.4890644391146,43.439539842081786,1470.2088343601554,0.7311042626695419
23,NS + AC,TT + RS,1476.0188608636329,1464.398807856678,11.620053006954777,1470.2088343601554,0.5664941857138154
24,NS + RS,TT + AC,1473.8818332990022,1466.5358354213088,7.345997877693435,1470.2088343601554,0.5421864279698679
25,TT + NS,RS + SY,1491.9286042811964,1485.7967495792677,6.13185470192866,1488.862676930232,0.5352392714292507
26,NS + SY,TT + RS,1513.326546003786,1464.398807856678,48.9277381471079,1488.862676930232,0.7552114140100626
27,TT + SY,NS + RS,1503.843520561462,1473.8818332990022,29.96168726245969,1488.862676930232,0.6659432002881301
28,TD + FZ,TT + NS,1521.7241184433185,1491.9286042811964,29.795514162122117,1506.8263613622576,0.6650914560059088
29,NS + FZ,TT + TD,1543.2683897594893,1470.3843329650254,72.88405679446396,1506.8263613622573,0.8426683447503038
30,TT + FZ,NS + TD,1533.7853643171652,1479.8673584073495,53.91800590981575,1506.8263613622573,0.7758263885909966
31,TT + NS,TD + AC,1491.9286042811964,1454.474589547462,37.45401473373431,1473.2015969143292,0.7031640432484833
32,NS + AC,TT + TD,1476.0188608636329,1470.3843329650254,5.63452789860753,1473.201596914329,0.532389529768704
33,NS + TD,TT + AC,1479.8673584073495,1466.5358354213088,13.331522986040682,1473.201596914329,0.5761454179344365
34,TT + NS,TD + SY,1491.9286042811964,1491.782274687615,0.14632959358141306,1491.8554394844057,0.5008423400552148
35,NS + SY,TT + TD,1513.326546003786,1470.3843329650254,42.942213038760656,1491.8554394844057,0.728847079013382
36,TT + SY,NS + TD,1503.843520561462,1479.8673584073495,23.976162154112444,1491.8554394844057,0.6346160694300389
37,FZ + AC,TT + NS,1517.875620899602,1491.9286042811964,25.94701661840554,1504.9021125903992,0.6450731791730604
38,TT + FZ,NS + AC,1533.7853643171652,1476.0188608636329,57.76650345353232,1504.9021125903992,0.7908609627089281
39,NS + FZ,TT + AC,1543.2683897594893,1466.5358354213088,76.73255433818053,1504.9021125903992,0.8540633013576236
40,FZ + SY,TT + NS,1555.1833060397548,1491.9286042811964,63.25470175855844,1523.5559551604756,0.8109957532544649
41,TT + FZ,NS + SY,1533.7853643171652,1513.326546003786,20.458818313379197,1523.5559551604756,0.6156397484612479
42,NS + FZ,TT + SY,1543.2683897594893,1503.843520561462,39.42486919802741,1523.5559551604756,0.7125479534166851
43,TT + NS,AC + SY,1491.9286042811964,1487.9337771438984,3.994827137297989,1489.9311907125475,0.5229798728862961
44,NS + SY,TT + AC,1513.326546003786,1466.5358354213088,46.79071058247723,1489.9311907125475,0.7460008704113704
45,TT + SY,NS + AC,1503.843520561462,1476.0188608636329,27.82465969782902,1489.9311907125475,0.6549086207799639
46,TT + CH,RS + TD,1516.460271113781,1452.3375619828312,64.12270913094972,1484.398916548306,0.8140403078516436
47,CH + TD,TT + RS,1504.399025239934,1464.398807856678,40.00021738325586,1484.398916548306,0.7152537704861789
48,CH + RS,TT + TD,1498.4135001315867,1470.3843329650254,28.029167166561365,1484.398916548306,0.6559720833118515
49,TT + CH,RS + FZ,1516.460271113781,1515.738593334971,0.7216777788098625,1516.099432224376,0.504154215646078
50,CH + FZ,TT + RS,1567.8000565920738,1464.398807856678,103.40124873539571,1516.099432224376,0.9153593241691939
51,TT + FZ,CH + RS,1533.7853643171652,1498.4135001315867,35.37186418557849,1516.099432224376,0.6930606350070178
52,TT + CH,RS + AC,1516.460271113781,1448.4890644391146,67.97120667466629,1482.4746677764479,0.8270832188526692
53,CH + AC,TT + RS,1500.5505276962174,1464.398807856678,36.15171983953928,1482.4746677764479,0.6968672514261072
54,CH + RS,TT + AC,1498.4135001315867,1466.5358354213088,31.87766471027794,1482.4746677764479,0.6756846998324387
55,TT + CH,RS + SY,1516.460271113781,1485.7967495792677,30.663521534513166,1501.1285103465243,0.6695285807880839
56,CH + SY,TT + RS,1537.8582128363705,1464.398807856678,73.45940497969241,1501.1285103465243,0.8444167650100559
57,TT + SY,CH + RS,1503.843520561462,1498.4135001315867,5.430020429875185,1501.1285103465243,0.5312170535677022
58,TD + FZ,TT + CH,1521.7241184433185,1516.460271113781,5.263847329537612,1519.0921947785496,0.530264100369452
59,CH + FZ,TT + TD,1567.8000565920738,1470.3843329650254,97.41572362704846,1519.0921947785496,0.9040519503535402
60,TT + FZ,CH + TD,1533.7853643171652,1504.399025239934,29.38633907723124,1519.0921947785496,0.6629895887368954
61,TT + CH,TD + AC,1516.460271113781,1454.474589547462,61.98568156631882,1485.4674303306215,0.8064760718581269
62,CH + AC,TT + TD,1500.5505276962174,1470.3843329650254,30.166194731192036,1485.4674303306215,0.666989948750241
63,CH + TD,TT + AC,1504.399025239934,1466.5358354213088,37.86318981862519,1485.4674303306215,0.7051267902541662
64,TT + CH,TD + SY,1516.460271113781,1491.782274687615,24.67799642616592,1504.121272900698,0.6383550876583434
65,CH + SY,TT + TD,1537.8582128363705,1470.3843329650254,67.47387987134516,1504.121272900698,0.8254393435550242
66,CH + TD,TT + SY,1504.399025239934,1503.843520561462,0.5555046784720616,1504.121272900698,0.5031976983818155
