game_id,day,date,player,elo_after_game
56,11,,FZ,1530.9603774967227
57,11,,FZ,1533.600226217294
58,11,,FZ,1536.4681275575454
59,11,,FZ,1540.262084562045
61,11,,FZ,1542.9975699981057
69,12,,FZ,1545.766410115793
70,12,,FZ,1542.9061772244722
71,13,,FZ,1546.2756334015128
72,13,,FZ,1549.2616569566899
73,13,,FZ,1552.1918777031838
74,13,,FZ,1555.2170161315678
75,13,,FZ,1559.2393907494054
77,13,,FZ,1562.1533007836183
80,13,,FZ,1559.3837954864855
81,13,,FZ,1562.5770805417733
82,13,,FZ,1559.250516904395
85,14,,FZ,1562.7136456379383
86,14,,FZ,1566.1971012637498
87,14,,FZ,1569.5379309408252
90,14,,FZ,1566.7890329173224
92,14,,FZ,1570.4210110212312
93,14,,FZ,1573.6473098914134
94,14,,FZ,1570.774344748955
96,15,,FZ,1573.4622558878268
97,15,,FZ,1577.0240614405118
101,16,,FZ,1579.9542895529805
102,16,,FZ,1582.85170118575
103,16,,FZ,1585.293488291428
104,16,,FZ,1588.2970010252009
105,16,,FZ,1591.0619062002472
106,16,,FZ,1588.3579497042563
108,16,,FZ,1591.36842051698
109,17,,FZ,1588.4091634519962
110,17,,FZ,1591.080964217405
112,17,,FZ,1587.8653062362157
113,17,,FZ,1590.7236098759074
114,18,,FZ,1587.7557366557903
115,18,,FZ,1583.903838750783
116,18,,FZ,1586.8692122379287
117,18,,FZ,1590.174722834086
118,18,,FZ,1592.8114957692137
119,18,,FZ,1595.9731077193273
120,19,,FZ,1598.7680854879598
121,19,,FZ,1601.8242126568844
122,19,,FZ,1604.7729383636758
124,19,,FZ,1607.242148633837
125,19,,FZ,1604.403910318606
126,19,,FZ,1601.300863940941
127,20,,FZ,1603.924754818524
128,20,,FZ,1606.6844412996015
129,20,,FZ,1609.9560473972763
130,20,,FZ,1612.676792976779
131,21,,FZ,1609.5077801660627
132,21,,FZ,1613.145881000477
133,21,,FZ,1615.797847179563
134,21,,FZ,1618.4331134737695
1,1,,NS,1503.452380952381
2,1,,NS,1506.779089793672
3,1,,NS,1509.5173831129212
5,1,,NS,1506.758311848255
30,6,,NS,1509.963746590427
31,6,,NS,1513.403051618541
32,6,,NS,1510.1616075311792
34,6,,NS,1513.2881204919352
35,6,,NS,1510.538269874988
36,7,,NS,1513.7591078047549
37,7,,NS,1510.4996083338287
38,7,,NS,1513.3627919558028
39,7,,NS,1516.0890276248465
41,7,,NS,1518.8514154584573
42,8,,NS,1521.8367428733611
47,9,,NS,1518.5646070307114
48,9,,NS,1521.5091732116418
49,9,,NS,1524.4456508788471
50,9,,NS,1521.7197029582148
