game_id,day,date,p1,p2,p3,p4,score1,score2,team1_pre_elo,team2_pre_elo,team1_expected_win_prob,team1_actual_win,team_delta,point_diff
77,13,,FZ,SY,AC,NS,21,16,1539.618010969547,1489.9111738843483,0.5569785262155792,1.0,5.485027770664257,5
78,13,,SY,NS,CH,TD,21,15,1513.4067530630502,1500.1057335842286,0.515308578421535,1.0,6.231746848865978,6
79,13,,TD,NS,CH,SY,21,18,1492.2465162433227,1521.265970403956,0.4666397537884903,1.0,6.095545670988681,3
80,13,,FZ,TD,CH,NS,20,22,1521.166237740682,1510.72041014642,0.5120238848616342,0.0,-5.607880643722661,-2
81,13,,CH,FZ,TD,SY,21,14,1536.592358808285,1501.3901063399283,0.5404395655954474,1.0,6.127472458727368,7
82,13,,TD,FZ,SY,CH,14,21,1518.3622974188206,1519.6201677293925,0.49855182733648384,0.0,-6.647357697819784,-7
83,13,,TD,TT,CH,NS,15,21,1471.4114195326458,1516.718058007418,0.44802721090876735,0.0,-5.760349854541294,-6
84,13,,NS,TD,TT,CH,10,21,1492.1005815396802,1496.0288960003836,0.49547748418007215,0.0,-7.550133092267766,-11
85,14,,FZ,CH,NS,SY,21,12,1542.983715774351,1517.6071221487553,0.5291826781271465,1.0,6.725961741040765,9
86,14,,SY,FZ,NS,CH,21,12,1540.9926049884175,1519.5982329346887,0.5246112755828427,1.0,6.791267491673676,9
87,14,,TD,FZ,TT,NS,21,13,1515.0903051413873,1487.7603100720894,0.5314233502826322,1.0,6.470820400858889,8
88,14,,AC,TD,TT,SY,13,21,1470.2143398058006,1496.2114730980277,0.47010539272721186,0.0,-6.491931613851974,-8
89,14,,AC,NS,TT,CH,16,21,1484.5850121686224,1499.7929139121077,0.48249840911638747,0.0,-5.973789827155274,-5
90,14,,CH,SY,FZ,NS,22,20,1529.3878976752565,1532.825923151313,0.496041909576983,1.0,5.519540990347329,2
91,14,,AC,SY,TD,NS,21,18,1497.7810060892512,1480.449892077529,0.5199425971932815,1.0,5.486370317791068,3
92,14,,NS,FZ,AC,TD,21,9,1528.6945600766915,1465.4749265420855,0.572274508527084,1.0,6.72140058028868,12
93,14,,FZ,CH,TD,SY,21,13,1551.1381993469472,1496.3323160142497,0.5627647769908131,1.0,6.03801022250782,8
94,14,,FZ,CH,NS,SY,20,22,1554.157204458201,1512.9268192141396,0.5473261381354707,0.0,-5.994524370055156,-2
95,15,,SY,CH,NS,SY,21,18,1533.519260749878,1515.924081399167,0.5202461226133788,1.0,5.482901455847099,3
96,15,,SY,FZ,AC,CH,21,18,1550.6808694624524,1500.6827678146442,0.557309476917432,1.0,5.059320263800776,3
97,15,,FZ,NS,CH,TT,21,11,1533.4588676244512,1504.2764608343969,0.5335470125228065,1.0,6.885734577044286,10
98,15,,AC,NS,TT,SY,8,21,1480.8027413143209,1503.234889147353,0.474196978132361,0.0,-7.677474884047749,-13
99,15,,NS,CH,TT,SY,21,17,1513.2189554229262,1507.0736265893768,0.5070745991139867,1.0,5.868159534357302,4
100,15,,CH,AC,NS,SY,22,20,1495.9793452010604,1517.5396197454165,0.47519818847996165,1.0,5.747829364267087,2
101,16,,FZ,AC,CH,TT,21,17,1517.712673427573,1504.1899196079535,0.5155636162033713,1.0,5.767099807102722,4
102,16,,FZ,SY,CH,TT,21,16,1555.389109686745,1501.3063697044022,0.5619451759268083,1.0,5.42353591709666,5
103,16,,FZ,CH,AC,TT,21,19,1555.4346648617916,1465.1120441944606,0.6025139644491332,1.0,4.353418484604732,2
104,16,,FZ,TT,AC,SY,21,16,1523.0493331523323,1499.0752340662705,0.5275731992894463,1.0,5.849093723083046,5
105,16,,TT,SY,CH,FZ,17,21,1500.1724599082045,1559.0736475348647,0.43260024930558627,0.0,-5.150002967923646,-4
106,16,,AC,FZ,CH,SY,19,21,1523.2396080523793,1533.2722274291953,0.4884515743057304,0.0,-5.349707718586571,-2
107,16,,AC,SY,CH,TT,16,21,1494.863186462748,1501.3943021062712,0.49248134202469757,0.0,-6.097388044115303,-5
108,16,,FZ,SY,CH,TT,21,15,1557.6648852554158,1504.4429961283288,0.5609690584028508,1.0,5.644683534820489,6
109,17,,FZ,TD,AC,SY,18,21,1522.148418908028,1493.2256633243956,0.5332494118078245,0.0,-6.094278992089422,-3
110,17,,AC,FZ,TT,SY,22,20,1520.4515780657623,1500.4584551019116,0.5230016865787034,1.0,5.224267242233249,2
111,17,,AC,SY,TD,TT,24,26,1496.2728028204403,1457.7664406805102,0.5442162820531937,0.0,-5.960464041534979,-2
112,17,,TD,SY,TT,FZ,21,16,1493.6164373561028,1526.1273463576174,0.4626401934776151,1.0,6.653026175991433,5
113,17,,TD,FZ,AC,TT,21,16,1521.8974622329251,1458.75954960085,0.5721823872008923,1.0,5.296789491798476,5
114,18,,AC,SY,FZ,CH,21,19,1493.631629970721,1562.6164339213428,0.42123960478506406,1.0,6.338804328544537,2
115,18,,AC,FZ,CH,SY,9,21,1519.9103391324973,1536.3377247595668,0.481096288098541,0.0,-7.560084527262787,-12
116,18,,FZ,SY,AC,CH,21,15,1560.321308385392,1495.9267555066722,0.5735984000894401,1.0,5.482306284564341,6
117,18,,AC,FZ,CH,SY,21,15,1516.1302968688658,1540.1177670231982,0.47241145354049385,1.0,6.783281311622221,6
118,18,,AC,SY,CH,FZ,18,21,1496.8010321349934,1559.4470317570708,0.4283722359241017,0.0,-4.895682696275447,-3
119,18,,FZ,SY,AC,CH,21,13,1563.0624615276743,1493.18560236439,0.5797616032256815,1.0,5.803292145931065,8
120,19,,SY,CH,AC,FZ,19,21,1536.726126367387,1519.521937524677,0.519796699960333,0.0,-5.693011475756028,-2
121,19,,CH,FZ,SY,AC,21,14,1561.8948731052083,1494.3531907868555,0.5771393228427862,1.0,5.638142362096183,7
122,19,,CH,FZ,TT,SY,21,15,1564.7139442862563,1497.0657164679837,0.5772590636871333,1.0,5.435240609736857,6
123,19,,TT,CH,AC,SY,23,21,1495.8155531536004,1490.1753094533733,0.5064932054759661,1.0,5.4050744162156095,2
124,19,,FZ,SY,AC,TT,21,18,1564.6128389965859,1452.111241977465,0.6267008022413514,1.0,4.266276545813127,3
125,19,,CH,SY,FZ,TT,21,18,1534.9461897659621,1529.2513087287853,0.5065560983231835,1.0,5.639358876306473,3
126,19,,TT,FZ,AC,CH,17,21,1526.431629290632,1491.9860370264819,0.5395740057354511,0.0,-6.42350006827918,-4
127,20,,AC,SY,TT,FZ,19,21,1490.4884869814123,1523.2198792564923,0.46238777952295623,0.0,-5.0642471090609495,-2
128,20,,AC,FZ,TT,SY,21,18,1520.9661450918588,1492.7422211460457,0.5324483249614835,1.0,5.343447714725902,3
129,20,,SY,FZ,AC,TT,21,10,1565.1401022524226,1448.5682639854817,0.6310754216427559,1.0,5.621707860681815,11
130,20,,FZ,TT,AC,SY,21,18,1525.7520028110225,1487.9563634268816,0.543404314432892,1.0,5.218236406481233,3
