scale,mean_brier_score,std_brier_score,mean_log_loss,std_log_loss,mean_accuracy,std_accuracy
213.0,0.23254657280372912,0.006376259321005679,0.6573604273392453,0.0128082244667551,0.5666666666666667,0.11055415967851333
214.0,0.2325935385841172,0.006350245992643376,0.6574644047986823,0.012756604101925743,0.5666666666666667,0.11055415967851333
79.0,0.23261273943751887,0.01906523801813539,0.6541858794714015,0.04085150469634636,0.5666666666666667,0.11055415967851333
215.0,0.2326403773805052,0.006324493249849962,0.6575679821025947,0.012705486104197274,0.5666666666666667,0.11055415967851333
216.0,0.23268708696782978,0.006298996531526522,0.6576711572966458,0.012654861780562294,0.5666666666666667,0.11055415967851333
217.0,0.23273366522748246,0.00627375138675887,0.6577739285932148,0.012604722653807316,0.5666666666666667,0.11055415967851333
218.0,0.23278011014359196,0.006248753471630806,0.6578762943647741,0.012555060455854979,0.5666666666666667,0.11055415967851333
219.0,0.23282641979943614,0.006223998546139849,0.6579782531375189,0.01250586712134192,0.5666666666666667,0.11055415967851333
220.0,0.23287259237397945,0.006199482471211932,0.6580798035852383,0.012457134781424179,0.5666666666666667,0.11055415967851333
78.0,0.2328808237079091,0.019372907486767458,0.6547565994982895,0.04168273597068599,0.5666666666666667,0.11055415967851333
221.0,0.2329186261385309,0.006175201205811339,0.6581809445234207,0.012408855757799936,0.5666666666666667,0.11055415967851333
222.0,0.23296451945351784,0.006151150804143373,0.6582816749035797,0.012361022556942925,0.5666666666666667,0.11055415967851333
223.0,0.2330102707653719,0.006127327412945488,0.6583819938077975,0.012313627864536106,0.5666666666666667,0.11055415967851333
224.0,0.2330558786035224,0.006103727268865326,0.6584819004434717,0.012266664540100279,0.5666666666666667,0.11055415967851333
225.0,0.233101341577494,0.006080346695921163,0.6585813941382612,0.012220125611808005,0.5666666666666667,0.11055415967851333
226.0,0.23314665837410412,0.0060571821030432835,0.658680474335223,0.01217400427147681,0.5666666666666667,0.11055415967851333
77.0,0.2331632318998722,0.019688641048746902,0.6553648994728419,0.042545855550439875,0.5666666666666667,0.11055415967851333
227.0,0.23319182775475675,0.006034229981692508,0.6587791405881298,0.01212829386973514,0.5666666666666667,0.11055415967851333
228.0,0.2332368485528296,0.006011486903554011,0.658877392556964,0.01208298791135328,0.5666666666666667,0.11055415967851333
229.0,0.2332817196711503,0.005988949518303493,0.658975230003581,0.012038080050733951,0.5666666666666667,0.11055415967851333
230.0,0.2333264400795596,0.005966614551443422,0.6590726527875335,0.011993564087556285,0.5666666666666667,0.11055415967851333
